word,machine,human,label,emotion_intensity_score
terrorize,dẹruba,dẹ́rùbà,anger,0.939
bane,eewọ,èwọ̀,anger,0.511
thwart,idiwọ,ìdíwọ́,surprise,0.547
remedy,atunse,Àtúnṣe,anticipation,0.578
illegality,arufin,arúfin,disgust,0.477
unsafe,ailewu,léwu,fear,0.561
coward,ojo,ojo,disgust,0.555
thrash,ipọnju,ìpọ́njú,sadness,0.344
reward,ère,ère,joy,0.625
thrift,ọlọrọ,ìṣọ́wóná,trust,0.227
embrace,gbá mọ́ra,dìmọ́,surprise,0.312
barbaric,ẹranko,ìwà ẹranko,disgust,0.719
philanthropist,alaanu,aláànú ènìyàn,trust,0.578
gazing,wíwo,wíwò,joy,0.333
endemic,gbongbo,ìbílẹ̀,fear,0.484
homicide,ipaniyan,ìpànìyàn,sadness,0.844
senile,arugbo,arúgbó,fear,0.547
unfair,aiṣedeede,àiṣedéédé,anger,0.571
forcibly,fi agbara mu,Fi agbára mú,anger,0.591
collaborator,alabaṣiṣẹpọ,alábàṣiṣẹ́pọ̀,trust,0.57
judiciary,adajo,Adájọ́,anticipation,0.398
offend,ṣẹ,ṣẹ̀,disgust,0.422
forfeiture,idasilẹ,ìpalára,fear,0.438
edited,satunkọ,ṣàtúnkọ,trust,0.383
chuckle,ẹrin,ẹ̀rín,anticipation,0.391
warmth,iferan,ìfẹ́rán,joy,0.53
smuggle,yiyalo,yíyọ́ wolé,fear,0.565
fortune,orire,ọrọ̀,surprise,0.477
prepared,gbaradi,gbáradì,anticipation,0.438
interrupt,da gbigbi,dá dúró,surprise,0.539
firmness,iduroṣinṣin,ìdúróṣinṣin,trust,0.586
bothering,idaamu,ìdààmú,sadness,0.435
dentistry,ehín,ẹ̀kọ́ nípa eyín,fear,0.375
perpetrator,oluṣe,Olùṣe,anger,0.469
pieceofshit,nkan isere,ǹkan ìṣeré,anger,0.81
recreation,ere idaraya,Eré ìdárayá,anticipation,0.516
forfeit,padanu,pàdánù,anger,0.409
chairwoman,alaga,alága-obìnrin,trust,0.453
recalcitrant,alaigbagbọ,aláìgbàgbọ́,anger,0.588
speculation,akiyesi,àkíyèsí,sadness,0.25
tax,owo -ori,owó - orí,sadness,0.142
nigga,nigga,aláwọ̀ dùdú,trust,0.273
reunion,itungbepapo,ìtúngbépapọ̀,joy,0.375
yoga,yoga,ìgbáradì,joy,0.266
injurious,ipalara,ìpalára,anger,0.609
illuminate,tan imọlẹ,tànmọ́lẹ̀,surprise,0.547
dastardly,dastardly,bíi búburú,anger,0.672
hospital,ile iwosan,Ilé ìwòsàn,sadness,0.484
arson,sisun,fi ilé jóná,anger,0.641
faith,igbagbọ,ìgbàgbọ́,trust,0.742
rejection,ijusile,ẹ̀kọ̀,trust,0.273
crucifixion,agbelebu,àgbélèbú,sadness,0.859
picket,agbẹru,agbẹ́rù,fear,0.25
presto,presto,orin takasufe,surprise,0.633
feeling,rilara,ìmọ̀ lára,joy,0.359
leery,leery,aláìṣeégbáralé,surprise,0.469
veer,wo,wo,fear,0.219
catch,mu,gbámú,surprise,0.32
indelible,aidibajẹ,àìlèyípadà,trust,0.5
calls,awọn ipe,àwọn ìpè,trust,0.359
stephanie,stephanie,adé,trust,0.258
fortune,orire,oríire,anticipation,0.656
outburst,ariwo,ariwo,sadness,0.531
xenophobia,xenophobia,ẹ̀rù àjèjì,fear,0.656
receiving,gba,ń gbà,anticipation,0.641
church,ijo,ilé-ìjọsìn,trust,0.492
deprivation,alaini,aláìní,anger,0.621
grateful,dupe,dúpẹ́,joy,0.789
displeasure,ibinu,àìtẹ́nilọ́rùn,disgust,0.406
benevolence,oninuure,onínúure,joy,0.469
rest,isinmi,ìsinmi,joy,0.469
endless,ailopin,aláìlópin,sadness,0.328
lifestyle,igbesi aye,ìgbe-ayé,trust,0.461
enablement,agbara,ìgbàláyè,trust,0.422
incarceration,atimole,àtìmọ́lé,sadness,0.641
presents,awọn ẹbun,àwọn ẹ̀bùn,joy,0.516
misery,ibanujẹ,Ìbànújẹ́,anger,0.547
remove,yọ kuro,yọ kúrò,fear,0.328
strength,agbara,agbára,joy,0.438
confiscate,gba lọwọ,gbà lọ́wọ,anger,0.394
satisfied,itelorun,ìtẹ́lọ́rùn,joy,0.5
solucky,oriire,oríire,joy,0.781
disable,mu ṣiṣẹ,mú ṣiṣẹ́,sadness,0.529
brutal,ìka,ìkà,fear,0.828
provoking,imunibinu,ìmúbínú,disgust,0.328
together,papo,papọ̀,joy,0.394
luckygirl,oriregirl,ọmọbìnrin olóríre,joy,0.576
compliment,iyin,ìgbóríyìn,surprise,0.375
suicidal,igbẹmi ara ẹni,ìgbẹ̀mí ara ẹni,fear,0.898
lunatic,aṣiwere,aṣiwèrè,fear,0.656
hopeful,ireti,nírètí,trust,0.633
excellent,o tayọ,peregedé,trust,0.656
letter,lẹta,lẹ́tà,anticipation,0.484
expose,fi han,fi hàn,fear,0.375
ori,ori,ìmọ́lẹ̀,trust,0.297
reproach,ẹgan,ẹ̀gàn,anger,0.409
amazingly,iyalẹnu,ìyàlẹ́nu,joy,0.703
stigma,àbùkù,àbùkù,sadness,0.438
critter,alariwisi,ẹ̀dá,disgust,0.391
twitching,gbigbọn,gbígbọ̀n,anger,0.219
fraudulent,arekereke,àrékérekè,anger,0.424
darkened,ṣokunkun,ṣókùnkùn,fear,0.61
subversive,onírúkèrúdò,onírúkèrúdò,anger,0.469
displeased,binu,bí nínú,anger,0.453
coping,farada,fara dà,sadness,0.219
unhappy,alainidunnu,aláìnídùnú,anger,0.364
midwife,agbẹbi,Agbẹ̀bí,anticipation,0.406
precursor,ṣaaju,ṣáájú,anticipation,0.469
madman,aṣiwere,aṣiwèrè,anger,0.82
antithesis,antithesis,kojú ọ̀tọ̀ọ̀tọ̀ síra,anger,0.5
bait,ìdẹ,ìdẹ,fear,0.219
invasion,ayabo,àyabò,anger,0.594
assassin,apaniyan,apànìyàn,anger,0.703
gush,gush,sàn,joy,0.545
anguish,ibanujẹ,ìbànújẹ́,fear,0.703
benedictory,ofin rere,àdúrà ààbò,trust,0.523
beliefs,awọn igbagbọ,àwọn ìgbàgbọ́,trust,0.625
shrapnel,isokuso,ohun èlò ìjà ogun,fear,0.688
happiest,inu didun,inú dídùn,joy,0.986
instruction,itọnisọna,ìtọ́nisọ́nà,trust,0.5
drinks,ohun mimu,ohun mímu,joy,0.273
irks,irks,àwọn ìbínú,anger,0.606
devil,bìlísì,bìlísì,sadness,0.576
hurtful,ipalara,ìpalára,disgust,0.367
scapegoat,atokun,atọ́kùn,anger,0.328
prisoner,ẹlẹwọn,ẹlẹ́wọ̀n,anger,0.516
legalized,legalized,sọ dòfin,joy,0.203
grimy,ibanuje,ìdọ̀tí,disgust,0.68
destroying,ìparun,parun,fear,0.844
mangle,mangle,fìyàjẹ,anger,0.714
wondrous,iyanu,ìyanu,surprise,0.586
cadaver,oku,òkú,fear,0.688
perilous,ewu,ewu,sadness,0.641
disclaim,sẹ,sẹ́,disgust,0.32
insolvency,aiṣedeede,àìṣedéédé,sadness,0.438
moving,gbigbe,gbígbé,sadness,0.295
quivering,gbigbọn,gbígbọ̀n,fear,0.641
dogma,dogma,ìgbàgbọ́,trust,0.367
laughter,ẹrin,ẹ̀rín,joy,0.824
leave,lọ kuro,lọ kúrò,sadness,0.328
matters,awọn nkan,àwọn ǹkan,trust,0.445
ecstatic,inu didun,inú dídùn,joy,0.954
watch,wo,wò,anticipation,0.523
playful,elere,eléré,anger,0.061
advisable,ni imọran,Ṣe é gbìmọ̀ràn,trust,0.648
infectious,àkóràn,àkóràn,disgust,0.758
frenetic,frenetic,burú,anger,0.397
humility,irele,Ìrẹ̀lẹ̀,joy,0.266
disable,mu ṣiṣẹ,àìlè ṣe,fear,0.558
majority,poju,ọ̀pọ̀lọpọ̀,trust,0.539
framework,ilana,ìlànà,trust,0.516
rat,eku,eku,fear,0.484
dungeon,ọgbà ẹ̀wọ̀n,ọgbà ẹ̀wọ̀n,fear,0.672
whatmakesmesmile,ohun ti o dunmi,ohun tí ó dùn mi,joy,0.811
leisure,fàájì,àsìkò ìgbádùn,trust,0.406
heartache,ibanujẹ ọkan,ìbànújẹ́ ọkàn,sadness,0.812
magnificent,nkanigbega,nǹkan ìgbéga,joy,0.859
tract,ìwé àṣàrò kúkúrú,ìwé àṣàrò kúkúrú,fear,0.188
irreparable,irreparable,aláìlátùnṣe,sadness,0.609
accursed,eegun,èègún,fear,0.594
overpriced,gbowolori,gbówólórí,anger,0.212
posse,iduro,ìdúró,fear,0.266
devilish,esu,ìwà bí èṣù,fear,0.734
microscope,maikirosikopu,asàwòrán-di-ńlá,trust,0.367
vigilance,gbigbọn,ìṣọ́ra,trust,0.594
dung,igbe,Ìgbẹ́,disgust,0.789
shrink,isunki,ìsúnkì,fear,0.234
holder,dimu,ẹ̀mú,trust,0.344
battled,jagun,jagun,fear,0.615
lifetime,igbesi aye,ìgbésí ayé,joy,0.234
neutral,didoju,àdáwà,trust,0.398
reggae,reggae,régẹ̀,joy,0.212
delighted,Inudidun,inúdídùn,anticipation,0.547
infirmity,ailera,àìlera,fear,0.438
humor,arin takiti,àrín tàkìtì,joy,0.656
projectiles,projectiles,ọta,fear,0.75
don,don,olùkọ́,trust,0.273
lose,padanu,pàdánù,anger,0.261
thump,ìlù,ìlù,anger,0.469
bad,buburu,búburú,sadness,0.422
undoubted,laiseaniani,láìṣe àní-àní,disgust,0.164
outcast,alaibikita,lé kúrò,disgust,0.406
massacre,ipakupa,ìpakúpa,fear,0.911
police,olopa,ọlọ́pà,trust,0.484
bane,eewọ,apànìyàn,disgust,0.453
recalcitrant,alaigbagbọ,aláìgbọràn,disgust,0.445
shack,àgò,àgò,disgust,0.305
iniquity,aiṣedede,àìṣedéédé,disgust,0.445
incrimination,ifisinu,ìfisínú,sadness,0.545
obnoxious,obnoxious,ìkórìíra,disgust,0.438
accolade,iyin,ìyìn,anticipation,0.562
approve,fi ọwọ si,fi ọwọ́ sí,joy,0.453
bridesmaid,iyawo,ìyàwó,joy,0.338
prescient,igba atijọ,Ìgbà àtijọ́,anticipation,0.648
celestial,ọrun,ọ̀run,joy,0.547
notamorningperson,notamorningperson,Má jẹ́ èyàn àárọ̀,anger,0.266
zealous,onítara,nítara,trust,0.258
rejoice,yọ,yọ,joy,0.812
magnificent,nkanigbega,Ǹkan ìgbéga,anticipation,0.531
forbid,leewọ,léèwọ̀,sadness,0.438
dismal,dismal,àìda,sadness,0.562
diagnosis,okunfa,okùnfà,anticipation,0.602
repellent,onibaje,oníbàjẹ́,disgust,0.469
salary,owo osu,Owó osù,anticipation,0.516
infamous,ailokiki,àìlókìkí,fear,0.422
soulless,alaini -ẹmi,aláìní - ẹ̀mín,fear,0.469
fugitive,asasala,asásàálà,disgust,0.383
county,kaunti,olú-ìlú,trust,0.336
starry,irawọ,ti ìràwọ̀,anticipation,0.469
falsification,iro,irọ́,anger,0.379
soulful,oninuure,onínúure,joy,0.5
condescension,irẹlẹ,ìrẹ̀lẹ̀,sadness,0.391
warrior,jagunjagun,jagunjagun,anger,0.364
tolerate,farada,faradà,anger,0.106
arrogant,agberaga,agbéraga,disgust,0.469
disliked,ikorira,kórìíra,disgust,0.336
bane,eewọ,èèwọ̀,fear,0.356
hives,hives,Ilé agbọ́n,fear,0.328
hunter,ọdẹ,ọdẹ,fear,0.562
obvious,kedere,hànde,trust,0.539
execution,ipaniyan,ìpànìyàn,sadness,0.859
cancer,akàn,àrun jẹjẹrẹ,fear,0.828
terrible,ẹru,ẹrú,sadness,0.578
kiddos,kiddos,Ọ̀rẹ́ kò rí kò sùn,joy,0.344
contagiously,ran,àkóràn,trust,0.289
dangerously,lewu,léwu,fear,0.766
soundness,ìlera,ìlera,trust,0.633
villager,abule,aráabúlé,trust,0.438
openly,ni gbangba,ní gbangba,trust,0.594
sticky,alalepo,alálẹ̀pọ̀,disgust,0.438
rested,sinmi,sinmi,joy,0.281
scared,bẹru,bẹ̀rù,fear,0.734
poisoned,majele,májèlé,anger,0.636
bloodthirsty,ongbẹ ẹjẹ,Òǹgbẹ ẹ̀jẹ̀,disgust,0.852
clouds,awọsanma,àwọsánmọ̀,sadness,0.125
affluence,ọlọrọ,ọlọ́rọ̀,joy,0.391
victim,olufaragba,olùfaragbà,fear,0.672
wilderness,aginjù,aginjù,sadness,0.255
recovery,imularada,ìmúláradá,joy,0.312
amazement,iyalẹnu,ìyàlẹ́nu,surprise,0.781
bloodthirsty,ongbẹ ẹjẹ,Òngbẹ ẹ̀jẹ̀,anger,0.875
degrade,irẹlẹ,rle,disgust,0.516
submitting,ifisilẹ,ìfisilẹ̀,fear,0.281
strip,rinhoho,rìnhòhò,sadness,0.179
running,nṣiṣẹ,ń ṣiṣẹ́,joy,0.258
cogent,cogent,alágbára,trust,0.414
happily,inudidun,inú dídùn,joy,0.922
aspiring,ifẹkufẹ,Ìfẹ́kùfẹ́,anticipation,0.656
denounce,ibaniwi,ìbániwí,disgust,0.43
blockade,ìdènà,ìdènà,anger,0.409
hostage,idimu,àwọn tí a fi dógò,fear,0.734
revoke,fagilee,dápadà,sadness,0.281
reluctant,lọra,lọ́ra,fear,0.297
intense,kikankikan,kíkankíkan,disgust,0.219
perfect,pipe,pípé,anticipation,0.445
depression,ibanujẹ,ìbànújẹ́,sadness,0.925
smut,lilu,lílu,fear,0.328
gift,ebun,ẹ̀bùn,surprise,0.43
interrogation,ifọrọwanilẹnuwo,ìfọ̀rọ̀wánilẹ́nuwò,fear,0.609
shortly,laipẹ,Láìpẹ́,anticipation,0.484
objective,ohun to wa,èròngbà,trust,0.617
dissection,ipinya,ìpínyà,disgust,0.759
treat,toju,tọ́jú,fear,0.094
equality,isọgba,ìdọ́gba,trust,0.727
carcass,okú,òkú,disgust,0.795
terrifying,ẹru,ẹ̀rù,fear,0.906
snowday,ojo egbon,Ọjọ́ yìnyín,joy,0.333
interminable,interminable,àìlópin,anticipation,0.375
heroic,akọni,ìwa akọni,surprise,0.5
doomsday,ọjọ iparun,Ọjọ́ ìparun,sadness,0.75
invader,ayabo,àyabò,anger,0.588
debacle,debacle,ìjákulẹ̀,sadness,0.609
confine,ihamọ,ìhámọ́,sadness,0.406
rot,rot,bàjẹ́,fear,0.594
sunk,rì,rì,fear,0.25
tribunal,ile -ẹjọ,ilé-ẹjọ kòtẹ́milọ́rùn,fear,0.438
desert,aṣálẹ̀,aṣálẹ̀,sadness,0.344
engulf,bo,bò,anticipation,0.484
hurt,farapa,farapa,fear,0.688
dishonor,àbùkù,àbùkù,disgust,0.516
stripped,ṣi kuro,ṣí kúrò,disgust,0.367
anathema,eegun,eégún,sadness,0.562
gnome,gnome,ère,anger,0.109
disapproving,alaigbagbọ,àìgbà,disgust,0.32
exhaustive,tán,tán,trust,0.438
swamp,ira,irà,disgust,0.57
important,pataki,Ṣe pàtàkì,trust,0.633
incurable,alailera,aláìlera,sadness,0.703
abuse,ilokulo,ìlòkulò,disgust,0.695
doubt,iyemeji,iyèméjì,sadness,0.359
elders,awon agba,àwọn àgbàgbà,trust,0.68
solidity,iduroṣinṣin,líle koko,trust,0.688
interminable,interminable,àìlópin,anger,0.343
gag,gag,sàn wálẹ̀,disgust,0.711
sizzle,sizzle,gbóná,anger,0.379
synchronize,muṣiṣẹpọ,múṣiṣẹ́pọ̀,joy,0.329
belt,igbanu,ìgbànú,anger,0.364
yearning,ifẹkufẹ,ìfẹ́kúfẹẹ,joy,0.297
strategist,ogbon,ọgbọ́n,anticipation,0.43
descent,iran iran,ìran ìran,fear,0.391
hangry,idorikodo,ìdoríkodò,anger,0.515
operation,isẹ,iṣẹ́,fear,0.266
puppy,ọmọ aja,ọmọ ajá,anticipation,0.5
surrender,tẹriba,tẹríba,sadness,0.453
gall,gall,àìsàn,disgust,0.305
hymn,orin iyin,orin-ìyìn,trust,0.422
shiver,gbigbọn,gbígbọ̀n,sadness,0.291
ceasefire,idasilẹ,ìdásílẹ̀,fear,0.156
spam,àwúrúju,àwúrúju,anger,0.281
halter,halter,ìjánu,fear,0.318
unsightly,airi,àìrí,disgust,0.641
consult,kan si alagbawo,kàn sí,trust,0.57
stress,wahala,wàhálà,fear,0.439
irreconcilable,aiṣedeede,àìsedéédé,anger,0.543
swim,we,wẹ̀,anticipation,0.5
change,ayipada,àyípadà,fear,0.198
boisterous,ariwo,ariwo,anticipation,0.555
treasure,ìṣúra,ìṣúra,trust,0.5
wonderful,iyanu,alágbára,surprise,0.453
knell,knell,lu agogo jẹ́jẹ́,sadness,0.275
regularity,deede,déédé,anticipation,0.32
wasteful,egbin,egbin,sadness,0.25
hostile,alatako,lòdì,fear,0.688
competency,ijafafa,ìkájúòṣùwọ̀n,trust,0.648
money,owo,owó,trust,0.359
notoriety,ogbontarigi,ògbóǹtarìgì,disgust,0.289
boisterous,ariwo,ariwo,joy,0.667
gullible,tànjẹ,tànjẹ,sadness,0.25
lucky,orire,ìlórí-lọ́wọ́,surprise,0.539
greed,ojukokoro,ojúkòkòrò,anger,0.424
obliging,ọranyan,láìrojú,surprise,0.188
depress,ibanujẹ,ìbànújẹ́,fear,0.422
groan,kérora,kérora,sadness,0.545
grant,fifunni,fifúnni,joy,0.366
violation,ṣẹ,ṣẹ̀,fear,0.766
beaches,etikun,etí òkun,joy,0.375
pained,irora,ìrora,sadness,0.833
symmetry,isedogba,ìṣedọ́gba,joy,0.197
steadfast,ṣinṣin,ìdúróṣinṣin,trust,0.656
deplorable,ìbànújẹ́,ìbànújẹ́,anger,0.766
fete,fete,ayẹyẹ,surprise,0.406
intolerance,ifarada,ìfaradà,anger,0.469
accused,ẹsun,fẹ̀sùn kàn,fear,0.469
accompaniment,ifowosowopo,Síṣẹ̀-n-tẹ̀lé,trust,0.531
unaccountable,unaccountable,aìleseékà,anticipation,0.336
jab,jabọ,Jábọ́,anger,0.574
hap,hap,ìṣẹ̣lẹ̀,surprise,0.32
sufferer,olufaragba,olùfaragbà,fear,0.609
uneasy,aibalẹ,àìbalẹ̀,fear,0.312
hollow,ṣofo,ṣòfò,sadness,0.234
tyrant,alade,alade,anger,0.812
endemic,gbongbo,gbòǹgbò,sadness,0.5
eradication,imukuro,ìmúkúrò,anger,0.685
darkness,okunkun,òkùnkùn,sadness,0.409
praisegod,praisegod,yin Ọlọ́run,joy,0.625
contagious,tó leè ranni,tó lè ranni,fear,0.72
cutter,ojuomi,ojú-omi,fear,0.344
thief,olè,olè,disgust,0.547
resentful,ibinu,ìbínú,anger,0.545
demonic,eṣu,àǹjọ̀ọ̀nú,fear,0.859
payback,agbapada,àgbàpadà,anger,0.436
treachery,arekereke,àrékérekè,anger,0.719
truck,oko nla,ọkọ̀ ńlá,trust,0.266
nauseous,ríru,ríru,sadness,0.5
pop,agbejade,yọ lójijì,surprise,0.508
yayyy,yayyy,yayyy,joy,0.803
tremor,iwariri,ìwárìrì,anger,0.406
approve,fi ọwọ si,fi ọwọ́ si,trust,0.68
benevolence,oninuure,onínúure,trust,0.672
lovemaking,ifẹ,ìbálópọ̀,trust,0.562
instability,aisedeede,àìṣedéédé,fear,0.5
arsehole,arsehole,onísọkúsọ,anger,0.624
unjust,alaiṣododo,aláìṣòdodo,anger,0.53
romance,fifehan,fìfẹ́hàn,trust,0.484
promises,awọn ileri,àwọn ìlérí,trust,0.547
inferno,inforno,àìjiná,anger,0.594
troublesome,onijogbon,Oníjọ̀gbọ̀n,anger,0.455
uncaring,aibikita,àìbìkítà,sadness,0.469
arguments,awọn ariyanjiyan,àwọn àríyànjiyàn,anger,0.404
suspected,fura si,fura sí,fear,0.375
koo,koo,olóṣèlú,trust,0.211
evil,ibi,ibi,sadness,0.672
wrangling,jijakadi,jíjàjadì,fear,0.531
diabolical,diabolical,lọ́wọ́ ayé nínú,disgust,0.727
schizophrenia,schizophrenia,ìṣiwèrè,fear,0.703
somber,somber,aláìláyọ̀,sadness,0.594
blasphemy,ọrọ odi,ọ̀rọ̀ òdì,anger,0.576
possessed,ti gba,ti gba,fear,0.594
jeopardy,ewu,ewu,anticipation,0.461
contagion,itankale,ìtànkálẹ̀,fear,0.688
cursed,eegun,eégún,sadness,0.625
locate,wa,wá,fear,0.094
grr,grr,kùn,anger,0.641
horrid,horrid,burújù,anger,0.833
monster,aderubaniyan,adẹ́rùbànìyàn,fear,0.844
