word,label
e gbu mmadụ,negative
nwannem ️,positive
odi mkpa,positive
nwà,positive
adaeze,positive
adirom,negative
agwugo m,negative
gbaagi ume,positive
ioma,positive
adikwam,negative
obi esie m ike,negative
igbu mmadu,negative
eze,positive
mejọrọ,negative
nnuku,positive
onwebeghi,negative
ifele,negative
anuli,positive
oga nihu,positive
agozigo gi,positive
nno,positive
me mma,positive
ahurum gi naya,positive
gbu e,negative
atuasi,negative
odinaka,positive
ife,negative
gbuo gi,negative
nsogbu ‍️,negative
eji eje mba,positive
kaa nkà,positive
ala gbagbuo gi,negative
ebugo,negative
ikonu,negative
dagbuo gị,negative
rie nsi,negative
atagbuo,negative
piwa,negative
ako nuche,positive
agụụ,negative
èzigbòte,positive
öjöö,negative
nkasiobi,negative
agbawa,negative
gbugo,negative
osita,positive
bughi mmadu,negative
ngọzi,positive
ara gba,negative
abughim,negative
asampete,positive
aguru,negative
ajọ,negative
añụrị,positive
efu uzo,negative
megbuo,negative
dị ike,positive
gbajiri gị aka,negative
achala ugo,positive
gbakwo oku,negative
o biliwo,positive
ozigbo,positive
adịhọ,negative
achọ okwu,negative
gwuru ike,negative
kpoghepu,negative
gi nma,positive
osụ ịmị,negative
ike ndị a gwụrụ,negative
aja gị mma,positive
onye aparị,negative
onye inye aka,positive
agozi,positive
odeshi,negative
aki onu,negative
otito,positive
gwuru,negative
na ebu,negative
gbulum ike,negative
ike gwurum,negative
ojoo,negative
ga ebu gi,negative
agu di,negative
imela ️,positive
ihe ojoo ‍️‍️‍️,negative
atọ gbuo,negative
isi agbaka,negative
uto ndu,positive
dimkpa,positive
nnọọ,positive
na ewute,negative
achalugo,positive
ndị àlà,negative
ará,negative
ejighi,negative
agwula m,negative
ndi iro,negative
obi oma,positive
butuo mmuo,positive
adirozikwa,negative
ònye ara,negative
nwanna ‍️,positive
ndị ara,negative
biko,positive
kitipka,negative
ekepere,positive
oma️,positive
gbakashi,negative
na ato ncha,negative
ekele kwam gi,positive
gaziere,positive
ahurogi,negative
olilanya,positive
fegbuo,negative
onye anwuru,negative
anwu anwu,negative
gbue,negative
macha mma,positive
ikenga,positive
riwaa nsị,negative
gbum,negative
nwérè madu,positive
oku mmuo,negative
ike kwuluu oto gwụ,positive
obi atogbuela,positive
akpị,negative
adiro,negative
onye ala,negative
adadioramma,positive
a atọ m,positive
nmanma,positive
rapum,negative
onyenweanyị,positive
kpuo anyi isi,negative
hụrụ nanya,positive
ndima,positive
mmuba akụ,positive
onwedi,negative
adiiro,negative
michapu gi onu,negative
tabuo gị,negative
nkwugheri,negative
lachaa gị anya,negative
agbakalam isi,negative
ime,positive
gae gbum,negative
obi dim uto,positive
chinedum,positive
akpari,negative
ekelem,positive
ekenem gi,positive
ocho okwu,negative
ejighi ahu,negative
nkita ra chi gi ike,negative
gbafou,negative
onye nwe anyi,positive
ara gbashie,negative
ọdịda,negative
ya gazieere,positive
amuma asi,negative
gi ike,positive
eziokwu,positive
ọnwụ,negative
anwuo,negative
ehihe oma,positive
gọzie,positive
onyedikagi,positive
obodo bu igwe,negative
ochioha,positive
alusi,negative
enwero,negative
ọmarịcha,positive
ezi okwu,positive
dajie,negative
ogologondu,positive
agaghim,negative
ajo ofia,negative
onye ofemmanu,negative
na enye ndu,positive
gbuo mu,negative
gaerigbu,negative
okenye,positive
ike uwa gwuru,negative
sagbukwa,negative
ajọ obi,negative
onye nso,positive
oku mmụọ,negative
agunaechemba,positive
ndu anyi,positive
ife dị mma,positive
ipiakasi,negative
egwu dikwa,negative
dalunu,positive
ọnụ ọjọọ,negative
agayim,negative
adiri,negative
ekperem,positive
ajọ mmadụ,negative
ikeoha,positive
mezuoro,positive
ekwekwala,negative
agbala,negative
tụgbuo m,negative
kparikwa,negative
ọdịmma,positive
isi oma,positive
ndị asili,negative
nsi,negative
adiro gi,negative
biri,positive
na gbaka m isi,negative
nwanném,positive
gbukwa gi,negative
dozie,positive
daalu,positive
onye ofe mmanụ,negative
ndu na ahu ike,positive
onye dika gi,positive
ekele ‍️,positive
piawaa,negative
bu ndu,positive
nukwu,positive
ogonogo ndu,positive
aja ike,negative
afọ ajọ ka,negative
anioma,positive
àgózigo,positive
afọ nsị,negative
azụ anụ ụka,negative
nwata,positive
gba gị ume,positive
aruru ala,negative
anaghí así,negative
ebezi akwa,negative
ihe ojoo,negative
ọnwụ ike,negative
ọdogwu,positive
eshiela ike,negative
nwere obi,positive
erim eri,negative
ọrụ ebube,positive
otu ocha,negative
ihe ọjọ,negative
lụọ,negative
oganiru,positive
achogo okwu,negative
rachapu gi,negative
ndidi,positive
ezenwanyi,positive
ekene,positive
mmeri,positive
ogologo ndụ,positive
kwudosie ike,positive
ahurum gi na anya,positive
mmemme,positive
ya gazie,positive
eme maaa,positive
lacha ike,negative
ala gba,negative
afo sagbuo,negative
ogbu go,negative
amunsu,negative
egbuom,negative
onye asi,negative
uru ahia,positive
gbakwalu agba,negative
odighi,negative
kanma,positive
o nwere,negative
ezi omume,negative
ekpele,positive
enweghizi,negative
aru adiro gi,negative
jisie ịke,positive
mmá,positive
awụ gị na ala,negative
onyenmeri,positive
adirokwanu,negative
dalụ,positive
idimma,positive
ahu ike,positive
daalukwanu,positive
a diro,negative
alasha go gi ike ️️️,negative
gozikwa gị,positive
agu jim,negative
amakeze,positive
aragba,negative
mela,positive
makazi,positive
asa m pete,positive
ọnụ ọjọ,negative
ndi ojoo,negative
adim mma,positive
azụ ukpo,negative
anumpam,negative
yigbuo,negative
akalakam,positive
na akpi nkpị,negative
obi dim nma,positive
ebewe,negative
gbukwa,negative
agwugom,negative
ebube,positive
kedu,positive
egubugo,negative
na ndu,positive
onyejiego,positive
ngozi,positive
amaka,positive
ririm onu,negative
gbabguo,negative
nka si obi,positive
ike gwuru‍️,negative
ala na apu gi,negative
akpa ike,positive
gbasisi gi nti,negative
gba gbuo gi,negative
imebigo,negative
anyinoria,positive
e gbu mmadu,negative
a gwugom,negative
egbu o,negative
ndị mmụọ,negative
gbara,negative
ala piachie gị ntị,negative
gbukwe gi,negative
di mkpa,positive
mara ihe nke ukwu,positive
adirọ m,positive
ku gi ihe,negative
omalichanwa,positive
zuzuru,negative
onye ọjọọ,negative
nwụọ,negative
ije awele,negative
atom,positive
️nwa,positive
ezi gbo,positive
sili ike,positive
agu neche mba,positive
asa nwa,positive
nnam,positive
gbukwe,negative
jisi ike,positive
na ebezi akwa,negative
ike agwo go mu,negative
yi ara,negative
ike gwuru ‍️‍️,negative
obim,positive
kelenu,positive
nwaoma,positive
asamkpete,positive
chacha,negative
ewu nwụrụ anwụ,negative
gwukwara ike ‍️,negative
kpachala anyi gi,negative
delu,positive
adịrị,negative
aku na uba,positive
okpu amụ,negative
arịrịọ,positive
akwa nwa,positive
nke m,positive
gburu,negative
ogaranya ngadanga,positive
onu ojor,negative
di m mma,positive
egwù,negative
ihe ọjọọ,negative
áfó ómá,negative
gozikwara,positive
onyeoma,positive
ọkpọ nkụ,negative
ndi ālā,negative
ekenekwam,positive
adadioranma,positive
dalu ibi,positive
nwem,positive
ézè,positive
gazierigi,positive
afọ saa,negative
ike gi gwuru,negative
ga adabara,negative
obi,positive
chidera,positive
riwe ndu,positive
oku ala nmuo,negative
afusie m anya,negative
aja gi mma,positive
egwu na atụchari,negative
hụrụ m nanya,positive
afutu bem,negative
macha mma ‍️,positive
ajado,negative
amara,positive
asili,negative
egbukwa,negative
ajọka,negative
ara,negative
gbara m ara,negative
asa mpete,positive
ọbịakpo,negative
ekenekwa,positive
anakogheri,negative
añụli,positive
ọnye ọjọọ,negative
gọzịwe,positive
onu mmanu mmanu,positive
obi mgbali elu,positive
adigonu,positive
asịrị,negative
adirokwa,negative
ike gị gwụrụ,negative
onye nna,positive
ndị asịrị,negative
mmà,positive
agbasa obi,negative
nke anyi,positive
kpasuru iwe,negative
nenye ndu,positive
somma,positive
gbawa,negative
uche,positive
isi odikwa mu mma ️️️️,negative
megbuola,negative
imara mma,positive
ogbuefi,positive
eze ndieze,positive
gbawapu,negative
uko,positive
repiakwa,negative
agọzi,positive
ike nke naso oyi,negative
gazie,positive
raputa,negative
na enwu oku,negative
gbaa gi ume,positive
onye nmehe,negative
mgbu,negative
ibughi mmadụ,negative
yagazie,positive
onye oshi,negative
nke ndu,positive
tagbogi,negative
mma,positive
afọ osusa,negative
dị mma️,positive
ọnye mmụọ,negative
achalaugo,positive
oke mkpotu,negative
naeto,positive
iburo,negative
onye nnwe aanyi,positive
a maka,positive
nwe egwu,positive
anwuli,positive
ri nne,positive
malu mma,positive
arusi,negative
nkea atọm,positive
na enwunu oku,negative
nyem ike,positive
adọkago,negative
igbu,negative
ịhụnanya,positive
oma ️,positive
ukwu anu,negative
gwukwara ike,negative
akpari mmadu,negative
na ko m onu,negative
ahuhu,negative
naeji ụgwọ,negative
adicha mma,positive
na ndu gi,positive
na etigbu ilo,negative
ònye ará,negative
nwa nne,positive
onye nkuzi,positive
ẹkwẹnsụ,negative
chukwu gozie,positive
obughi,negative
gbaka m isi,negative
obi akpọ,negative
adagbuo,negative
nne m,positive
nwanyi ajadu,negative
ezuzu,negative
dajuo,positive
gbahara,positive
aghugho,negative
nwanyi ota akpu,negative
gbaa gị ume,positive
daalụ,positive
inweghi,negative
kelee,positive
nnukwute,positive
ọnwunwa,negative
negbu,negative
gwakwa oku,negative
nchachi anya,negative
ndiara,negative
ike adiro m,negative
egbu gi,negative
ọganihu,positive
nwuo,negative
ọjọ,negative
na agwu ike,negative
agwugo,negative
ga gbukwa,negative
nma nma,positive
ike agwugo,negative
gba gi ume,positive
ndi na gba mgbo,positive
ndi ofe manu,negative
ike agwulam,negative
izuzu,negative
mkpari,negative
akpụ obi,negative
atughari,negative
ebere‍️,positive
egbuwara isi,negative
apiti‍️,negative
gá egbụ,negative
oria isi,negative
gozi go gi,positive
iga adi,positive
maa mma,positive
mmebi,negative
oshi,negative
ekwueme,positive
onu ojo,negative
obinigwe,positive
nwanyi oma,positive
atoo,positive
a gwu go,negative
apịafukwa,negative
akaoma,positive
idi mma,positive
di uto,positive
mawa gi ọnụ,negative
gwum,negative
odogwu akataka,positive
riine,positive
rinee,positive
neme mma,positive
nonyere,positive
acholu m,negative
alaputagom,negative
enyioma,positive
ike a gwugo,negative
ekele,positive
agbonma,positive
agworia,positive
agahi,negative
gaegbu,negative
azuru azu,positive
mmuozi,positive
nna ochie,positive
n sogbu,negative
ihe oma,positive
zukwaanu ike,positive
òtítọ́,positive
ahu mgbasike,positive
mgbawa isi,negative
njo,negative
adighi anu ife,negative
adiro mụ,negative
ebere,positive
e gbu,negative
gbuo,negative
ndimmuo,negative
nwoke m,positive
afo osisa,negative
o dikwa egwu,negative
akonuuche,positive
isike,negative
ụgwọ,negative
onye oma,positive
ndukaku,positive
tufiakwa‍️,negative
mmamma,positive
akwaugo,positive
kacha mma,positive
nzuzo,negative
aru isike,positive
mechie onu,negative
agbawa m,negative
ngbaghasi,negative
efu,negative
nwayọọ,positive
chọọ gị mma,positive
ike gi adiro,negative
gaadi,positive
oku eligwe,negative
omemma,positive
akajiaku,positive
akpa ibi,negative
akwụkwọ nsọ,positive
isi adirokwanu gi nma,negative
agba mgbo,positive
onyeeze,positive
oluku,negative
ndi nzuzu,negative
na ese okwu,negative
ji na oru,negative
ôpipia,positive
monsoo,positive
gi mma,positive
hapuruanyi,negative
i ma mma,positive
nwunye,positive
merie,negative
gbagbuo,negative
adirogodi,negative
ọma ️,positive
ugomma,positive
nwuru,negative
obi utó,positive
dirokwa,negative
muo nso,positive
onye nkem,positive
mmehe,negative
úkwù,negative
olu ebube,positive
ikwusi,negative
ogbu mmadu,negative
ndeewoo,positive
ezigbo,positive
kpo ya oku,negative
ife ọma,positive
ọkụ mmụọ,negative
mejọlụ‍️,negative
emume,positive
nihunanya,positive
onwe bedi,negative
onu nsi,negative
odogwu,positive
ajuru,negative
rie nne,positive
umunnam,positive
ajó ndú,negative
egbu ya,negative
ihe ojo,negative
agwunechemba,positive
okú muō,negative
íke nwata,positive
mejoro,negative
gozibe,positive
aku,positive
igbu onye,negative
ogu na mgba,negative
mewa gom obi,negative
n agba ọkụ,negative
chukwu,positive
achupugo,negative
ese okwu,negative
huru nanya ️️,positive
ka nma,positive
kèle,positive
nku kwa ya,positive
oka ka,positive
gwurum ike,negative
nwunye‍️,positive
kotelu,negative
ata ahuhu,negative
nwayi oma,positive
adirọ ‍️,negative
nrashi amu,negative
goziri agozi,positive
ike adirum,negative
aru rana,negative
wetere ndu,positive
dimma,positive
rapukwam,negative
chebekwa,positive
arụ isi ike,negative
ibu gi nma du,negative
chinelo,positive
etito,positive
ekwensu,negative
ife oma,positive
tufikwa,negative
onye apari,negative
kpa cha ran ayan gi,negative
mgbagojuru,negative
oke nkume,positive
ike agwula,negative
gae gbu,negative
añụ anwụrụ ‍️‍️,positive
nsogbù,negative
ilaferela,positive
na arụru aka,positive
araputa,negative
akwuna,negative
okwu agwugonu,negative
gị mma,positive
naese okwu,negative
apịafukwa gị isi,negative
hurum nanya,positive
ọfụma,positive
ezigbota,positive
dị m mmà,positive
ị bụghị,negative
ibugi madu,negative
gbu go dị,negative
eze nwanyi ️,positive
ọ diro,negative
nonyere gi,positive
gbakwa oku,negative
ọmalicha,positive
biko‍️,positive
ndị iro,negative
onye oria,negative
onye amara,positive
gazielu gi,positive
gegbu,negative
sicha asi,negative
ashi,negative
aru adiro,negative
onye mgbu,negative
ji ịsị kote,negative
dịkwalu gị na mma,positive
ezigbó,positive
onye ukwu,positive
ndi amu,negative
gozie gi,positive
iru oma,positive
ara gba gbuo gi,negative
onuojo,negative
ofuma,positive
na achọ so okwu,negative
kpochie,negative
goziere,positive
e ga di,positive
ịsị ọkpọ,positive
ndi awka,negative
ogaranya,positive
gbuom,negative
ike anyi,positive
apu ala,negative
igbu m,negative
ndeewo,positive
gbajuo,negative
ike gwụrụ,negative
isi kotenu,negative
gozielu,positive
umu asa,positive
ọlụ ebube,positive
jisienu ike,positive
umunnem,positive
enwerozi,negative
okpo,negative
nakogheri,negative
adị ímé,positive
arụ adirọ,negative
ụmụnne,positive
akwuna ike,negative
ochie dike,positive
nnaa,positive
esu gi oku,negative
dị nso,positive
naegbu,negative
egbuo,negative
ocha,positive
mma️,positive
anwunyu anya,negative
asugbu,negative
riinne,positive
ogwugwu oge,positive
chaa isi awo,negative
nwanna,positive
njemonu,positive
ihunanya,positive
ekotekwanaru,negative
gbawazie oto,negative
ike adihom,negative
obiebere,negative
ụfụ,negative
gba ọtọ,negative
ndi mgbu,negative
afo asagbuo,negative
fụrụ nanya ️️️,positive
obị,positive
asagbuo ya,negative
juo obi gi oyi,negative
agba gi oku,negative
ndu gi,positive
isi nkwocha‍️‍️‍️‍️‍️,negative
onye ori,negative
ọkpọ,negative
kpachara anya gi,negative
libe ife,negative
ike gwuru ‍️,negative
dinma ️,positive
agwugom ike,negative
ajo,negative
udo ️,positive
ndi mmuo,negative
na agwọ,positive
uda egbe,negative
agwulam,negative
onyeom,positive
suo ya oku,negative
gbajie,negative
adiró,negative
atọ ụtọ,positive
ikputu onu,negative
obi nwanne,positive
pia isi,negative
emeka,positive
mmama,positive
mara nma,positive
amosu,negative
isioma,positive
ogo,positive
akpiri,negative
ndi nso,positive
ara gbaba,negative
díke,positive
ome mma,positive
rapukwa,negative
ndi nsoo,positive
nzuzu ‍️,negative
i bughi madu,negative
napkari,negative
ike agwulam ‍️,negative
ndi mmuo ozi,negative
ojo,negative
iwe ọkụ,negative
nzoputa,positive
oji obara awu aru,negative
atoka️,positive
ahụ ike,negative
di ndu,positive
i bughi mmadu,negative
ogbu,negative
gbafulu,negative
ashawo,negative
asa nwam,positive
gozi gi,positive
uchu,negative
asiri,negative
uto ️️,positive
mma️️,positive
ara na ayị gị,negative
obi ebele,positive
ara gba gbuo,negative
nwuru anwu,negative
adiro di mma,negative
ndi ọjọọ,negative
jide sịrị m ike,positive
igaadi,positive
ntàntá,negative
onye mmeri,negative
adanma,positive
ịke dị,positive
idá,negative
mara gi nma,positive
gbakwaa oku,negative
nne,positive
ụdo,positive
oru ebube,positive
haziere,positive
nwanne,positive
ònye ọjọọ,negative
nwụrụ anwụ,negative
makatakwa mma,positive
gozia,positive
daaalu,positive
npiawa azụ,negative
akporom gi asi,negative
ihere,negative
kpo kwa gioku,negative
racha gi ike,negative
agbasarom,negative
ike ga agwu,negative
agbaligo,positive
akpọ egwú,negative
ako na uche,positive
nma‍,positive
ndewo,positive
asị,negative
doorie,negative
ómá,positive
tụwa nwaanyị ime,positive
obi ebere,positive
akukago gi,negative
gọzịwerem,positive
taa m aru nike,negative
hụrụ ya nanya,positive
e gbu onwe gi,negative
aku gi ihe,negative
ekwena,negative
emechu ihu,negative
isi gbawa,negative
machapu isi,negative
mgbe ole,negative
awugo ‍️,negative
adiro gi mma,negative
abụ otito,positive
enwerom,negative
onye nzuzu,negative
eku eme,positive
e gae gbum,negative
obi di m uto,positive
adikwa,negative
gidigidi,positive
ọnu ọjọ,negative
ọ dị nnọọ egwu,negative
onye ogwu ego,negative
fugbue,negative
aburo mmadu,negative
ndo,positive
na atọ,positive
tigbuo gi,negative
gbapụrụ,negative
ihe mberede,negative
adiro ya,negative
atu egwu,negative
e ga adị,positive
igadi,positive
gbum mmadu,negative
ahụike gị,positive
agbataobi,positive
adimma,positive
nwaada,positive
amaghi,negative
naakuziamuta,positive
adirozie,negative
tufiakwagi,negative
gọzi kwa gị,positive
na esi obi ike,negative
gozie,positive
onwu,negative
isi nadighi,negative
na eme mma,positive
mara nma‍,positive
idigodi,positive
egbue mmadu,negative
obiapkoobi,negative
ragbuzie,negative
tugbu,negative
na achu nwaanyi,negative
añụ anwụrụ,positive
njọ,negative
mpitimpi,negative
emegbu emegbu,negative
nwa afo,positive
rachapu,negative
obi akpo,negative
egbụ kwa gị,negative
onye ozuzu,negative
egbue,negative
kwupuru ịke,negative
gae gbum mmadu,negative
agwụgo,negative
ga e gbu mmadụ,negative
noo ndu,positive
ahuru m gi nanya,positive
adịghị,negative
zoba,positive
ragbuzienu,negative
nma agha,positive
apịlapị,negative
nma mma,positive
emejorom gi,negative
nno‍️,positive
zoputa,positive
na cho okwu ‍️,negative
a hurum onwem nanya ️,negative
olisa,positive
ugwu eze,positive
egbue mmadụ,negative
ahụ isike,positive
gbu mmadu,negative
buru onu,negative
ihele,negative
ekenem,positive
isi agbakaa go,negative
di mma,positive
gaatugbu,negative
gbuo mụ,negative
chideraaa,positive
bishop umu nwanyi,positive
amusù,negative
adighi,negative
nwayö,positive
hapụ,negative
ji gi na oru,negative
ndị agulu,negative
isi adikwanu gi,negative
tagbuo unu,negative
odiro,negative
di ke,positive
naachọ kwa okwu,negative
oji kwa ahu,negative
ekuke,negative
ndị mgbu,negative
iga di,negative
mechipu onu,negative
kwugbuo,negative
apari,negative
asugbuo,negative
nike,positive
igbu gom,negative
daa kpo,positive
nkem ️,positive
nna m,positive
gizie,positive
onye ujo,negative
gọziri,positive
jise ike,positive
ogbajuo dolu,negative
isi iyi nke ndu,positive
onye nmeye,negative
isi gbari gi,negative
olukwu,negative
akpaamu,negative
afụfụ,negative
nwanyibuife,positive
jisie nụ ike,positive
adighi anu nti,negative
abughi,negative
si be ike,negative
ike adighi,negative
onye kere uwa,positive
sagbuo,negative
bikoo,positive
ara na gba,negative
nekpo ọkụ,negative
tusatusa,negative
ga gozi,positive
ara na yi gi,negative
ebele,positive
nwayọ nwayọ,positive
ndokwa,positive
mma gi ula,negative
emena,negative
ada obi m,positive
ekwero,negative
rachapukwa,negative
piawago,negative
golibe,positive
amusu,negative
gbaoto,negative
achọ so okwu,negative
iwe gị,negative
gbuōlam,negative
si ike,negative
atoókà,positive
welu ndu,positive
lacha gi anya,negative
ga eme bi ‍️,negative
kụwaa,negative
uwaoma,positive
oyoko di nma,positive
egwu na atu,negative
omalugo,positive
ogbara ara,negative
gbafuo,negative
ike ndi mmadu agwugom ‍️,negative
atu ndu mmanu,positive
ònye mmụọ,negative
gbaakwa ọkụ,negative
chukwu agozigo gi,positive
tigbuo,negative
okwu na uka,negative
dinma,positive
ọdụmeje,positive
isi agbakaa,negative
enweghị,negative
obi naatọ m rikpokpo,positive
na eti gbu,negative
zuoro gi ike,positive
oziọma,positive
gbuo ya,negative
adaugo,positive
ara ga gba,negative
e gbum mmadu,negative
ahu si ike,negative
onye asiri,negative
zobakwa,positive
lachakwa gi ike,negative
gbahara m,positive
na agba mbo,positive
na achọ okwu,negative
iku okpo,negative
eme bi ‍️,negative
gbajiri gị,negative
nzuzu‍️,negative
ahụ isi ike,positive
asam,positive
okwu ịkọ telu,negative
enyim,positive
ndị dị ndụ,positive
agwụgom,negative
gbagoro agbago,negative
èzigbo,positive
gbuo gị,negative
obioma,positive
ọma,positive
echiche oma,positive
naezuzughari,negative
e mela,positive
tugbuo,negative
ara na agba,negative
anaghi,negative
gwum ike,negative
ozigbote,positive
ajadu,negative
